,County,Station Name,Station ID
0,KIT CARSON,BURLINGTON,51121.0
1,LINCOLN,HUGO 1 NW,54172.0
2,ADAMS,BYERS,51179.0
3,ARAPAHOE,BYERS,51179.0
4,KIOWA,EADS,52446.0
5,LOGAN,LEROY,54945.0
6,PROWERS,LAMAR,54770.0
7,SEDGWICK,SEDGWICK 5 S,57515.0
8,WASHINGTON,AKRON 4 E,50109.0
9,MESA,GRAND JUNCTION,53488
10,PHILLIPS,HOLYOKE,54082.0
11,WELD,BRIGGSDALE,50945.0
12,YUMA,WRAY,59243.0
13,LARIMER,FT COLLINS,53005.0
14,MORGAN,FORT MORGAN,53038.0
15,CHEYENNE,CHEYENNE WELLS,51564.0
16,ELBERT,LIMON,55017
17,MONTEZUMA,CORTEZ,51886
18,OTERO,ROCKY FORD,57167.0
19,BACA,WALSH 1 W,58793.0
20,DOLORES,NORTHDALE,55970
21,DOUGLAS,CASTLE ROCK,51401
22,LA PLATA,FT LEWIS,53016
23,LAS ANIMAS,TRINIDAD,58434
24,BOULDER,LONGMONT 2 ESE,55116.0
25,MOFFAT,MAYBELL,55446
26,PUEBLO,PUEBLO MEM AP,56740.0
27,ROUTT,STEAMBOAT SPRINGS,57936
28,DELTA,BONHAM RSVR,50825.0
29,BENT,LAS ANIMAS,54834.0
30,SAN MIGUEL,TELLURIDE,58204